agent_id,n_obs,pw_i_vi_coef,pw_i_vi_pval,pw_i_ci_hat_coef,pw_i_ci_hat_pval,pw_i_T_zi_coef,pw_i_T_zi_pval,pw_i_zr_coef,pw_i_zr_pval,pw_i_P_dev_coef,pw_i_P_dev_pval,pw_i_si_coef,pw_i_si_pval,pw_i_r_dev_coef,pw_i_r_dev_pval,pc_i_vi_coef,pc_i_vi_pval,pc_i_ci_hat_coef,pc_i_ci_hat_pval,pc_i_T_zi_coef,pc_i_T_zi_pval,pc_i_zr_coef,pc_i_zr_pval,pc_i_P_dev_coef,pc_i_P_dev_pval,pc_i_si_coef,pc_i_si_pval,pc_i_r_dev_coef,pc_i_r_dev_pval
10,240,0.003627362104162876,0.8163184006614921,0.03062507092609884,0.01803678314453425,-4.5249579169164826e-17,0.30158741048270077,-1.1185860454002918e-17,0.13798525995165115,0.021800795320875383,0.1738503890364724,0.06641995251391408,4.4553038468885e-06,-0.03528503340715203,0.0567744451343822,-5.645604097510881e-05,0.9896451798923365,0.029955374495118675,5.547084391564251e-15,-4.7439402010444123e-17,0.00012753707783457401,-6.62725767177261e-18,0.0017536722191636022,0.012149826987138764,0.006836466331430583,-0.026254175666527005,1.8487401383419057e-10,-0.017864617934689284,0.000599059305198946
11,240,0.01267427988511054,0.3883421911494439,0.03883193387280765,0.0018738758818584646,-5.480362642874026e-17,2.0575737370515523e-05,2.0542059790465486e-18,0.00044687243046830766,-0.023048350658859813,0.12027303882341037,0.0793839508671084,2.353539872390642e-09,0.039557413519677065,0.011486929511918917,0.00658596742386228,0.1340656605988317,0.027224695266277757,2.7035168618034606e-12,1.3087520905767873e-17,0.0006074621680711279,5.791892658601198e-19,0.0009046931198141224,0.023466408654908,2.484406454771699e-07,-0.03224904473498776,3.119985683726376e-15,-0.01919311516588163,4.884106838423497e-05
12,240,0.001697304460995989,0.9135837375825308,0.0017586907603517766,0.8774040431130586,5.177476736732623e-17,0.3437448475717141,-1.3760840981130855e-17,0.013353408966661628,0.002603062248865657,0.8705127286400431,0.05566651437892313,5.419456166741657e-06,-0.012873179111755513,0.45369855091193334,-0.003728355646568451,0.44261195710164947,0.03985908276049159,7.516480815243355e-24,1.0014089563481677e-16,1.1759292302583777e-08,-1.2791697103844806e-17,1.5908371834938273e-12,0.014191185421991173,0.0045184884601476025,-0.01751961193751963,4.023879027962127e-06,-0.02426306123402579,8.288594765432545e-06
13,240,0.01971729088199356,0.1366262013781662,0.03389740833278071,0.001684695103628372,-2.6366725399615606e-18,0.26304695273920803,-1.0339036124467797e-18,0.5605869071675016,0.04876143401985868,0.000463013882879417,0.07241326249906688,1.865798535729395e-09,-0.014942894741987834,0.3151707065825088,0.0009284902439784159,0.8430869532616532,0.03737986660311174,1.9227894763614174e-19,6.172830979703904e-19,0.4600189807842614,-2.7924023519549664e-18,1.4175818803218206e-05,0.004521755433447825,0.35440595515490647,-0.02615614578128944,1.0124041426298123e-09,-0.01075055220561337,0.042434110458810965
14,240,-0.014194541880796906,0.3784472255253938,0.08596690181169098,5.41625465444978e-11,-4.587633401013718e-18,0.37216383070823655,1.1257493661959966e-17,7.176270501387658e-06,0.026310699128763167,0.07794211805228762,0.07190380760121334,6.06062369162317e-09,0.025709329570448344,0.10542265881328318,0.012007391268917606,0.012749622257502712,0.04032128942810494,1.739525305632555e-22,5.1998056475450596e-18,0.0007710091507405839,2.438743977610116e-18,0.0009588398959020535,-0.005598564386580471,0.2064854477164149,-0.016832024392920086,3.499944690708097e-06,-0.004804344568189383,0.30815108418661746
15,240,-0.03040710869058175,0.05528903384006027,0.00801204392598346,0.5057871787970878,-7.737442159139234e-18,0.8991725227965859,5.360627780026394e-18,0.799661726285237,-0.03611590078723718,0.0140232205841135,0.04271284796219867,0.0006140794259856806,-0.012153401924722437,0.4561753613632219,-0.0009551124537258743,0.8426430385843398,0.03318793556249353,5.05751733732336e-17,-1.704099305540219e-17,0.3597683544643354,-6.1333067755658284e-18,0.3406469999635575,-0.0013193166842748374,0.7667273610132206,-0.025685835064956003,6.129238075396985e-11,-0.003340048244403452,0.5011189545110736
16,240,0.009651343002453761,0.4459390566733835,-0.0003560997213227293,0.9719902607092146,-9.601723492428727e-17,0.013241496483502401,-1.059892271781522e-17,0.007421038866353483,-0.0038192727944410237,0.7719491876195345,0.05883014693101913,9.038089384904592e-08,0.034314072942500454,0.018066794731443427,0.004138691040650048,0.37500991550669416,0.029370775079750014,1.3072169165035518e-13,1.1665171620542912e-17,0.41117005560080255,1.767010504524872e-18,0.2227781623037956,0.004789009893524409,0.3243006966471659,-0.022010101573400477,5.832107570619214e-08,-0.0005608126342727011,0.9159558590657195
17,240,0.03729676022611815,0.005002674295068786,0.00824209776434619,0.4763107032980596,-6.086178558375693e-17,7.437015365199142e-07,2.993191116460225e-17,3.2560514602560057e-15,0.04768595506230589,0.0012104465876019285,0.07975983585667981,1.5563502991120723e-10,-0.047053418699831276,0.0022971595984761744,0.004469563858197652,0.3019430163457449,0.02896111630724775,5.654599617480494e-13,5.7656292737532886e-18,0.14335571690800616,-5.120901031706044e-18,1.6384510023064134e-05,0.006924038100426576,0.14856619484751313,-0.023523615422954898,6.755693325240086e-09,-0.015231485462564292,0.002633879297487672
18,240,0.04140743385317964,0.000281111171485472,0.008888510983063556,0.3854559640973675,-1.4886449669874966e-17,1.7656127626090616e-05,7.642291178975836e-18,2.2869677253458602e-07,0.07935719816270376,1.2772425010148739e-09,0.02282633103492242,0.032712924724797685,-0.02697001272803268,0.036709358853630004,0.0013654132409578626,0.7353852650566792,0.033220030833099906,6.002813249883218e-17,1.6096740272108496e-18,0.18852118808254248,9.52757606981274e-20,0.8534234685333693,0.01868202904164401,4.796700142564575e-05,-0.03561980020751036,8.530434993855427e-18,-0.02904489086623946,1.4966746216254182e-09
19,240,-0.0238882097924396,0.044678132518154674,0.01417588217640427,0.18615378253168843,1.0799215417928198e-17,0.23917981442663724,-1.0703119432718554e-17,0.502259614075703,0.008073930594848138,0.48782296455842444,0.06989494649070391,5.799302425591454e-10,-0.04797270175938597,0.0003130967058326469,0.001620538303557224,0.7183763040550633,0.022467600732318998,8.065525527020337e-08,1.3419391398501093e-17,0.00014310386543063387,-2.0786216633995778e-17,0.000685998221373859,0.017629079059653767,8.478066782081e-05,-0.04186752285989178,1.7266659580870438e-20,-0.020797831845792175,4.077553575450827e-05
20,240,0.0629856675440082,1.129504227788888e-05,0.049635813295017164,9.609323644168672e-06,1.722183875168248e-17,8.557741428604389e-06,7.334957577418955e-18,7.441806836809597e-05,0.023774294792493163,0.10058345889982172,0.04848629254590754,1.9487045094817503e-05,0.04759609209214535,0.001650559052406656,-0.0003427969061724032,0.9406520223034628,0.04094563134377148,3.329905824427786e-24,-3.4512312465206003e-19,0.7809980936822171,4.389833418358428e-19,0.46209167054556344,0.014538687427215105,0.002345301865569256,-0.021762354223155034,8.6597679916467e-09,-0.011586630828714245,0.018841409896432747
21,240,-0.0014293431543324119,0.9226440052615605,-0.009672395325294864,0.40855256395276707,1.2047750814394599e-17,0.011797195908402336,-1.5963366697251225e-18,0.5854585694067396,-0.03821308975896082,0.016831670298718106,0.05525405152451934,3.3154789407928628e-06,0.005929331742042001,0.7040802387499714,-0.0071564784521865755,0.1159612562954953,0.028833227641565602,5.712100348302537e-14,-8.570992747336664e-18,1.6167450909651105e-08,-7.821451353524794e-19,0.3865350686660144,-0.006438070693092875,0.18980387031281062,-0.023760815273036133,2.1340011109599217e-10,-0.003561204215155104,0.4597811026663937
22,240,-0.0069026525076874975,0.6573979193111841,0.00264654936176157,0.8107991333723588,2.4645732481249832e-17,0.6450747261234826,2.6739048780875213e-18,0.7506824698366155,0.011312682902726794,0.44159594925487644,0.04787233542108245,3.5615795479448876e-05,0.0010685452615129994,0.950222947514648,0.0013062983307855274,0.7852253065697703,0.021108087446958444,2.4541959125426203e-09,2.1707698670638714e-17,0.18852452951583976,5.571132288198895e-18,0.03244296362511541,0.017580545591090034,0.00013126934037926147,-0.023440828010141832,1.5284917828721773e-10,-0.02399672594803004,8.38911625166381e-06
23,240,-0.031279048239444975,0.01603571454803981,0.06469730479357456,4.208873472797169e-09,-1.9479247805189353e-17,2.976854202477859e-06,-3.041280624766323e-17,0.024953648872005678,-0.0183364475163873,0.11818652340010746,0.12669111367054658,3.983251486636314e-24,0.011533737409740223,0.3876067675584526,-0.007427306686199803,0.10319225374825033,0.020804897589806665,6.727136301516558e-08,8.902650791249643e-19,0.5347887184776297,-1.984842596135168e-18,0.6761111668744992,-0.005803190513033022,0.15997468639046172,-0.04368276825655029,2.2476370125988192e-23,-0.004865457669963434,0.30076470191008914
