month,rate_by_actions,rate_by_states,difference
160,0.21,0.21,0.0
161,0.12,0.21,-0.09
162,0.22,0.12,0.1
163,0.15,0.22,-0.07
164,0.19,0.15,0.04000000000000001
165,0.23,0.19,0.04000000000000001
166,0.17,0.23,-0.06
167,0.21,0.17,0.03999999999999998
168,0.17,0.21,-0.03999999999999998
169,0.24,0.17,0.06999999999999998
170,0.28,0.24,0.040000000000000036
171,0.23,0.28,-0.05000000000000002
172,0.23,0.23,0.0
173,0.25,0.23,0.01999999999999999
174,0.25,0.25,0.0
175,0.19,0.25,-0.06
176,0.14,0.19,-0.04999999999999999
177,0.2,0.14,0.06
178,0.2,0.2,0.0
179,0.26,0.2,0.06
180,0.29,0.26,0.02999999999999997
181,0.25,0.29,-0.03999999999999998
182,0.2,0.25,-0.04999999999999999
183,0.34,0.2,0.14
184,0.23,0.34,-0.11000000000000001
185,0.26,0.23,0.03
186,0.25,0.26,-0.010000000000000009
187,0.23,0.25,-0.01999999999999999
188,0.31,0.23,0.07999999999999999
189,0.23,0.31,-0.07999999999999999
190,0.14,0.23,-0.09
191,0.19,0.14,0.04999999999999999
192,0.21,0.19,0.01999999999999999
193,0.15,0.21,-0.06
194,0.19,0.15,0.04000000000000001
195,0.21,0.19,0.01999999999999999
196,0.13,0.21,-0.07999999999999999
197,0.2,0.13,0.07
198,0.26,0.2,0.06
199,0.23,0.26,-0.03
200,0.26,0.23,0.03
201,0.21,0.26,-0.05000000000000002
202,0.13,0.21,-0.07999999999999999
203,0.18,0.13,0.04999999999999999
204,0.19,0.18,0.010000000000000009
205,0.18,0.19,-0.010000000000000009
206,0.13,0.18,-0.04999999999999999
207,0.2,0.13,0.07
208,0.14,0.2,-0.06
209,0.16,0.14,0.01999999999999999
210,0.13,0.16,-0.03
211,0.16,0.13,0.03
212,0.11,0.16,-0.05
213,0.15,0.11,0.039999999999999994
214,0.29,0.15,0.13999999999999999
215,0.21,0.29,-0.07999999999999999
216,0.16,0.21,-0.04999999999999999
217,0.13,0.16,-0.03
218,0.15,0.13,0.01999999999999999
219,0.16,0.15,0.010000000000000009
220,0.18,0.16,0.01999999999999999
221,0.15,0.18,-0.03
222,0.23,0.15,0.08000000000000002
223,0.16,0.23,-0.07
224,0.15,0.16,-0.010000000000000009
225,0.23,0.15,0.08000000000000002
226,0.2,0.23,-0.03
227,0.19,0.2,-0.010000000000000009
228,0.21,0.19,0.01999999999999999
229,0.19,0.21,-0.01999999999999999
230,0.16,0.19,-0.03
231,0.18,0.16,0.01999999999999999
232,0.13,0.18,-0.04999999999999999
233,0.21,0.13,0.07999999999999999
234,0.11,0.21,-0.09999999999999999
235,0.18,0.11,0.06999999999999999
236,0.17,0.18,-0.009999999999999981
237,0.19,0.17,0.01999999999999999
238,0.16,0.19,-0.03
239,0.25,0.16,0.09
240,0.14,0.25,-0.10999999999999999
