year,rate_by_actions,rate_by_states,difference
1,0.2308333333333333,0.2925,-0.061666666666666675
2,0.15916666666666668,0.1708333333333333,-0.01166666666666663
3,0.14416666666666667,0.14583333333333331,-0.0016666666666666496
4,0.16666666666666666,0.1625,0.004166666666666652
5,0.22083333333333333,0.21083333333333334,0.009999999999999981
6,0.24583333333333335,0.25083333333333335,-0.0050000000000000044
7,0.2625,0.25499999999999995,0.007500000000000062
8,0.26583333333333337,0.2733333333333334,-0.007500000000000007
9,0.20750000000000002,0.20416666666666664,0.0033333333333333826
10,0.15333333333333335,0.165,-0.011666666666666659
11,0.16249999999999998,0.15749999999999997,0.0050000000000000044
12,0.13333333333333333,0.1366666666666667,-0.003333333333333355
13,0.15999999999999998,0.15416666666666667,0.0058333333333333015
14,0.18916666666666662,0.19166666666666665,-0.00250000000000003
15,0.23000000000000007,0.22000000000000006,0.010000000000000009
16,0.23666666666666666,0.24333333333333337,-0.00666666666666671
17,0.19499999999999998,0.19666666666666668,-0.0016666666666667052
18,0.16833333333333333,0.1708333333333333,-0.0024999999999999745
19,0.17833333333333334,0.17416666666666666,0.00416666666666668
20,0.1725,0.17833333333333332,-0.005833333333333329
