agent_id,n_obs,pw_i_vi_coef,pw_i_vi_pval,pw_i_ci_hat_coef,pw_i_ci_hat_pval,pw_i_T_zi_coef,pw_i_T_zi_pval,pw_i_zr_coef,pw_i_zr_pval,pw_i_P_coef,pw_i_P_pval,pw_i_si_coef,pw_i_si_pval,pw_i_r_coef,pw_i_r_pval,pc_i_vi_coef,pc_i_vi_pval,pc_i_ci_hat_coef,pc_i_ci_hat_pval,pc_i_T_zi_coef,pc_i_T_zi_pval,pc_i_zr_coef,pc_i_zr_pval,pc_i_P_coef,pc_i_P_pval,pc_i_si_coef,pc_i_si_pval,pc_i_r_coef,pc_i_r_pval
10,240,0.007404707965332883,0.445872205825496,0.01957535117503061,0.009099584030680502,1.2211133471513483e-17,0.42220111933415194,-6.282160643858046e-18,7.367721188580252e-05,0.04023451382164737,0.0003186438086153931,0.0010721295042098282,0.8921072694961789,-0.06592386817779156,1.125788140603211e-08,-0.004133798421624575,0.3094757463376491,0.011088201733207185,0.0004496403688791505,-2.0312973556896796e-18,0.7495879176780164,7.730294928748007e-19,0.23658767543396594,0.014882571454628601,0.0014185370395957768,-0.04731639094640247,8.112425974595542e-34,-0.02055803409084898,1.5599631419284047e-05
11,240,0.017549044912860884,0.050484112902024404,0.029419302489208144,9.076686727730761e-06,-4.270111818722257e-17,0.011713872270826821,-6.872750089345876e-18,0.015735166233934957,-0.00588268457498072,0.5319188233221144,0.0544920408766032,8.468296774567807e-14,0.015296203677844747,0.10146087582107807,0.006299147563401811,0.11508162025117341,0.015789051293473542,1.219501392512682e-07,-2.8285114961475255e-17,0.00020529330163325697,-8.540414658051322e-18,9.949075528436259e-11,0.029673496218343746,1.6957549558151475e-11,-0.05258555621737182,2.571126827026505e-43,-0.02347927241930956,4.478619862879236e-08
12,240,0.011663068233527646,0.2667850161512728,0.02094978721647582,0.0068258251931889195,-5.268035859910611e-18,0.238098104882047,7.876146457944692e-18,0.019482525303918974,0.018815968779998967,0.10320786568895425,0.029891056196557467,0.00030016521247470853,-0.033828946605103424,0.0022401379983985723,-0.009014283543484254,0.07793730182695739,0.0161689984256879,2.163552050095328e-05,-7.157665985512127e-18,0.001090679275849708,9.297501686992825e-18,3.326744777119387e-08,0.023177779601275355,4.714101383029068e-05,-0.03536820244239626,1.2211443773523484e-16,-0.03748379136069208,2.0283025453511647e-11
13,240,0.016921346980230546,0.058606389453986975,0.01516089815080213,0.024011966502484296,-1.0584849181875748e-16,4.4718444742520516e-08,-1.2774691508024526e-17,4.676609029589817e-09,0.0628520578161406,2.772165480698849e-09,0.029530693473666242,0.0001338427569256189,-0.03086157995243216,0.0022914824601289567,9.028329466827852e-06,0.9985410970227363,0.012127303892836058,0.0011948269052439724,-2.554072498202908e-17,0.01445156980474883,2.315272207094018e-18,0.04759848599192911,0.004881898116722939,0.3868382510170577,-0.04794652001188632,3.511486342889758e-24,-0.014613506421051168,0.008956091225961915
14,240,0.026396548066756016,0.026577109325775606,0.02681447125678172,0.0007952420884365961,-1.491853933327814e-16,0.13006482781097925,-8.156762397456703e-18,0.008297260977833619,0.011520406927339844,0.324900945542949,0.03928118469960717,3.909350638289062e-05,0.03740199499799857,0.001354036896168196,0.01978740802734816,0.00010523387147690374,0.016546938445022995,1.4421294031781138e-06,-4.103039082623079e-17,0.3254370148656278,-2.644612684626628e-18,0.042893272319864166,-0.012603413342306583,0.011559267247393566,-0.03344635685387217,3.808680976894565e-15,-0.005241314606625822,0.284865260552061
15,240,-0.0319678780319981,0.0005551645856563664,0.01865326140639568,0.0045941463287429325,-5.901377922944016e-17,4.570076641229394e-05,6.693143288861066e-18,0.00017005932137766918,-0.02342807207211412,0.012594151701935813,0.03190814259187216,5.273083221867571e-06,-0.0175683297420527,0.0642227450661309,0.0007804620049627966,0.8691639226458536,0.015738190244936084,5.34477319654048e-06,2.0942772006185935e-18,0.7763094895530347,5.757624941096961e-19,0.526544406958372,-0.004649761838969043,0.336631540646547,-0.0429389421117042,1.6623304978939922e-26,0.0012015472470527063,0.8063957661585719
16,240,0.017867192694285293,0.023242005436737465,0.011345424856108212,0.0503706566459511,4.387138514541748e-17,0.003459312147348787,7.148649570429263e-18,0.0003086654066360358,0.013703380813443798,0.11631676729350107,0.05236552747415604,1.7542248692052294e-15,0.03420164783405931,0.0001003133272279372,0.0019968679260672553,0.6621855234442033,0.005364292999277076,0.11240388029262405,3.498894716754297e-18,0.6868510398469764,-5.256242276209346e-18,6.498949647148147e-06,0.005802892086800678,0.25392505093821643,-0.041275424906499,1.1830882092269928e-24,0.0029686733829570404,0.556678490855874
17,240,0.04742274369714894,8.46995017331342e-08,0.02209031503705948,0.0012366072188708462,4.992285818884773e-16,1.5159890912602728e-10,-8.329644442073779e-17,9.866315028146594e-11,0.06492081452244546,5.236918708853913e-10,0.058875463695420654,1.3366066657884621e-14,-0.05239890512525344,1.5334557916109848e-07,0.0036963122730841024,0.3909285393376015,0.01683042663528264,1.31144847089085e-06,2.9397537508261623e-17,0.43217539842255703,-1.498242430938553e-17,0.015846416141325342,0.008334784489559129,0.09832973460074167,-0.04026221329067382,1.2051955288647133e-23,-0.019897101981331062,5.757294099376568e-05
18,240,0.03891374331571243,1.2874387286890998e-08,0.008221437768709813,0.1101301374379435,5.75583261263542e-20,0.9899550717967761,4.775266225955778e-18,3.842450923316822e-08,0.07308182902838208,5.694432632273966e-18,-0.0016299489901903594,0.7668848553159464,-0.025413890440501227,0.0004833758347500427,0.0030744733201719856,0.45921040450915585,0.01477610341806208,7.343227200275225e-06,-2.0635346197294164e-17,8.64937184103785e-12,-1.4300045629980013e-18,0.007227331422051874,0.026556903061021393,1.4228398628634789e-07,-0.056239013318927854,2.0709837245301144e-40,-0.038435912614575185,1.988843958642916e-15
19,240,-0.014201288943638705,0.027541801048084687,0.02280681614825577,2.2227638462096475e-06,-8.146890574761191e-18,0.006687223307991632,6.830100027290446e-18,0.0009206571008178326,0.021708300493815242,0.0013238593641933208,0.03676849513617255,2.0047414339524463e-13,-0.05134117453803476,1.2063218165009481e-12,-0.00010744435097863022,0.9784000876931398,0.019176431237397523,2.8563094125071924e-10,-2.4632772268269686e-17,1.1810990100324308e-30,1.5687944454232392e-18,0.21421083944994196,0.018106799108550897,1.798208578822506e-05,-0.05654181419264289,1.4457271348867183e-50,-0.020779663727149573,1.6856329852191942e-06
