agent_id,n_obs,pw_i_vi_coef,pw_i_vi_pval,pw_i_ci_hat_coef,pw_i_ci_hat_pval,pw_i_T_zi_coef,pw_i_T_zi_pval,pw_i_zr_coef,pw_i_zr_pval,pw_i_P_coef,pw_i_P_pval,pw_i_si_coef,pw_i_si_pval,pw_i_r_coef,pw_i_r_pval,pc_i_vi_coef,pc_i_vi_pval,pc_i_ci_hat_coef,pc_i_ci_hat_pval,pc_i_T_zi_coef,pc_i_T_zi_pval,pc_i_zr_coef,pc_i_zr_pval,pc_i_P_coef,pc_i_P_pval,pc_i_si_coef,pc_i_si_pval,pc_i_r_coef,pc_i_r_pval
0,240,0.16624144861194085,0.037264155550791156,-0.03926013179149766,0.17511744397800338,4.138973019133419e-18,0.8399693627796112,1.0898912721262561e-17,0.5299127380783866,-0.1660841176595165,0.08691799208412486,0.004841097093115695,0.8682999006295821,0.04007245959164128,0.3875655298694708,0.028061474878085677,0.02048619345173805,-0.0007396020020989623,0.865894691226711,1.381174295827992e-18,0.6566407880993936,3.630674132486326e-18,0.1680591867166005,-0.03186612437849627,0.030525613268068307,-0.03144157400519469,1.3652829056104558e-11,0.016306784945868853,0.020962959826996468
1,240,0.18687403988212006,0.0037505986316019074,-0.013102600935816233,0.647156282239381,-1.8158965842939635e-16,0.014070593725375365,2.647304853709502e-17,0.0369433598981445,-0.16311241096264542,0.01822842732837223,-0.015156788626814197,0.5937389871572172,-0.03513499624773353,0.35721525910617435,0.006499979312996583,0.49481789533110065,-0.0011907830316873142,0.7799912648529328,-9.47737962250936e-18,0.3868647065074513,8.444497391230976e-18,1.098929613927153e-05,-0.0014020796963048138,0.8909749364321118,-0.03104671839200294,3.3727313723329426e-12,-0.004428084274382285,0.43582471714440973
2,240,0.035095373260688414,0.7760056538615682,-0.0012217637926490435,0.9676868545886127,-7.111813649750472e-19,0.5764132911013584,4.17022708759081e-18,0.17389213420219787,-0.03678502306686791,0.7582554657621805,0.046657147487205716,0.13249444566032573,0.01650081889259694,0.676623386284972,-0.028315920014154065,0.06249929564057893,-0.002033620288696871,0.5830475125023098,2.192186649230178e-19,0.16156090959043015,-3.0884724911733834e-18,1.342211257843569e-14,0.02961590369589855,0.04449254197171818,-0.03457494061500052,3.7829107828608863e-17,0.0016931619372140775,0.7274336111619345
3,240,0.018226178146818352,0.8513568435807013,-0.04802002658816819,0.07516327764001392,1.7453453735210984e-17,0.587917517004703,-4.0424799969850834e-18,0.15611610152720443,0.030574999829827462,0.7649783133519772,0.004769851869305687,0.8612164744786792,-0.035191260083038675,0.3188855793937436,-0.029568283535269878,0.02576743058445269,-0.0035931345418186746,0.32506775658707765,1.7483245811798226e-17,8.243046993272427e-05,3.1594678871004504e-18,1.5953286376487725e-14,0.0358890195039786,0.010187263530942223,-0.03736294427976451,3.630077737136964e-20,-0.013606432672470917,0.004795130710353136
4,240,-0.002741559538141161,0.9803020409796267,0.03196313062519914,0.2707225019386316,-1.664186351238862e-17,0.016888972222567886,-3.0115617922999855e-17,0.07428850338914338,-0.013727325821658108,0.9005263745513108,0.08264012071740354,0.00586095406492414,-0.017237304140608815,0.6488459613524905,0.017532853738061543,0.3303888693649961,-0.0016049330446346122,0.732613292947637,6.141301990939046e-18,1.1002367535803619e-07,1.3410185968179872e-17,1.5862484685400784e-06,-0.022027163297603798,0.21659663519463856,-0.027998622849292564,1.9891278930189022e-08,-0.004614930064744641,0.4520588376792607
5,240,0.08918608494313582,0.615157810968496,-0.0215299736714854,0.45820787699502163,-4.486085124951034e-18,0.13238686704542674,-6.816541479363145e-18,0.09465761653916956,-0.031641958492818215,0.8637801220301574,0.027852739722956793,0.36567294726034805,-0.04774495487916543,0.21045387669536672,-0.00019256922614729888,0.9941099855233473,-0.005921461197715368,0.16602391785478735,2.022789027038712e-18,6.0853540062800795e-06,7.177009919173866e-19,0.23085452586331975,-0.011921184839135013,0.6603794501209734,-0.036628148981106556,2.95516968393892e-14,0.007782575427315593,0.1653336867640453
6,240,-0.02375042172932606,0.7871972365449492,-0.02313791093799579,0.38079424234111015,2.5884533104336126e-17,0.17542317457002216,-2.086635131998266e-17,0.17843295196060585,0.03757808291402087,0.6526176612313573,0.03221601414990323,0.23419979436572066,-0.021750839750637168,0.5510578265962967,0.021918224954497627,0.1646622453716554,0.0006246002464131446,0.8947210684330176,-2.7398815284348797e-18,0.4222040953230308,2.6677387811411763e-18,0.33586137702556784,-0.02422976704170661,0.10568628447479707,-0.01289320406681984,0.00817091491019011,-0.011349101203670636,0.08298979231869864
7,240,-0.10236052948008065,0.23722868524450866,0.012248151970862868,0.6454474307364877,1.7763692619533204e-18,0.8306636766391466,-5.846991529770124e-18,0.07882557311996162,0.13225196532629285,0.15751093674120356,0.04218250277932741,0.13161327005742882,-0.027063289368413308,0.4514577243633895,0.024923116094523835,0.05981591905895344,-0.0025056685352252746,0.5373055001429072,-3.605801868033603e-18,0.004780349824754984,3.14317348442033e-18,2.261173087991347e-09,-0.04362881952853842,0.00242032943342502,-0.03337470508036236,1.5121336150312964e-13,0.005161122168826184,0.34670476834785413
8,240,0.056678416741973464,0.5537119304354601,0.019915506208539997,0.47018498544033094,1.4631484805199425e-17,0.4668557782971623,3.8780715713816376e-17,0.3127622892443207,-0.022428865438931314,0.8176469887296645,-0.013918759526589945,0.6485448535407803,-0.04999157218134666,0.16082867017505487,0.043951806898962165,0.0011352988982972776,-0.0024580723063272678,0.5229653255455533,1.4625671142285385e-17,3.9424634918003126e-07,2.733853636283364e-17,6.684841175981631e-07,-0.04575419474119599,0.000866395187182412,-0.04173807962960585,3.071862187640692e-19,-0.009381706173187943,0.059765283666721965
9,240,-0.023800092848443893,0.7870685069450307,0.024483969470448296,0.35466018296085,5.191623140644069e-18,0.7114715624816961,-3.4605113320296416e-18,0.8087496608544487,0.031580498272001475,0.7327268820512587,0.006956791434600741,0.7883092667321928,-0.019766110956235646,0.5659842882830076,0.009578415514143603,0.4510270192734922,-0.004357183129941468,0.2534237133455061,-2.2485047611594057e-19,0.9115053503995932,-1.2542385183091214e-18,0.5429665645976259,0.001905777551468323,0.8863126595138113,-0.01980198525387443,2.574345800449628e-07,-0.004668048845365317,0.3473477916308043
